"No.","Time","Source","Destination","Protocol","Length","Info"
"3","3.410005","192.168.1.2","33.33.33.33","UDP","54","1766  >  33434 Len=12"
"4","0.006223","192.168.1.1","192.168.1.2","ICMP","310","Time-to-live exceeded (Time to live exceeded in transit)"
"5","0.052325","192.168.1.2","33.33.33.33","UDP","54","1766  >  33435 Len=12"
"6","0.005723","192.168.1.1","192.168.1.2","ICMP","310","Time-to-live exceeded (Time to live exceeded in transit)"
"7","0.052717","192.168.1.2","33.33.33.33","UDP","54","1766  >  33436 Len=12"
"8","0.003041","192.168.1.1","192.168.1.2","ICMP","310","Time-to-live exceeded (Time to live exceeded in transit)"
"9","0.054073","192.168.1.2","33.33.33.33","UDP","54","1766  >  33437 Len=12"
"10","0.029082","172.14.1.2","192.168.1.2","ICMP","186","Time-to-live exceeded (Time to live exceeded in transit)"
"11","0.027727","192.168.1.2","33.33.33.33","UDP","54","1766  >  33438 Len=12"
"12","0.028039","172.10.1.2","192.168.1.2","ICMP","186","Time-to-live exceeded (Time to live exceeded in transit)"
"13","0.029277","192.168.1.2","33.33.33.33","UDP","54","1766  >  33439 Len=12"
"14","0.031509","172.14.1.2","192.168.1.2","ICMP","186","Time-to-live exceeded (Time to live exceeded in transit)"
"15","0.024753","192.168.1.2","33.33.33.33","UDP","54","1766  >  33440 Len=12"
"16","0.030971","172.8.1.1","192.168.1.2","ICMP","186","Time-to-live exceeded (Time to live exceeded in transit)"
"17","0.028500","192.168.1.2","33.33.33.33","UDP","54","1766  >  33441 Len=12"
"18","0.032275","172.30.1.1","192.168.1.2","ICMP","186","Time-to-live exceeded (Time to live exceeded in transit)"
"19","0.026134","192.168.1.2","33.33.33.33","UDP","54","1766  >  33442 Len=12"
"20","0.029546","172.18.1.1","192.168.1.2","ICMP","186","Time-to-live exceeded (Time to live exceeded in transit)"
"21","0.027764","192.168.1.2","33.33.33.33","UDP","54","1766  >  33443 Len=12"
"22","0.032986","192.168.3.5","192.168.1.2","ICMP","310","Time-to-live exceeded (Time to live exceeded in transit)"
"23","0.023336","192.168.1.2","33.33.33.33","UDP","54","1766  >  33444 Len=12"
"24","0.027430","192.168.3.5","192.168.1.2","ICMP","310","Time-to-live exceeded (Time to live exceeded in transit)"
"25","0.029025","192.168.1.2","33.33.33.33","UDP","54","1766  >  33445 Len=12"
"26","0.031749","192.168.3.5","192.168.1.2","ICMP","310","Time-to-live exceeded (Time to live exceeded in transit)"
"27","0.026055","192.168.1.2","33.33.33.33","UDP","54","1766  >  33446 Len=12"
"28","0.049756","33.33.33.33","192.168.1.2","ICMP","70","Destination unreachable (Port unreachable)"
"29","0.007612","192.168.1.2","33.33.33.33","UDP","54","1766  >  33447 Len=12"
"30","0.053174","33.33.33.33","192.168.1.2","ICMP","70","Destination unreachable (Port unreachable)"
"31","0.058745","192.168.1.2","33.33.33.33","UDP","54","1766  >  33448 Len=12"
"32","0.047726","33.33.33.33","192.168.1.2","ICMP","70","Destination unreachable (Port unreachable)"
"33","1.524279","192.168.1.2","33.33.33.33","UDP","54","3344  >  33434 Len=12"
"34","0.002181","192.168.1.1","192.168.1.2","ICMP","310","Time-to-live exceeded (Time to live exceeded in transit)"
"35","0.058781","192.168.1.2","33.33.33.33","UDP","54","3344  >  33435 Len=12"
"36","0.002058","192.168.1.1","192.168.1.2","ICMP","310","Time-to-live exceeded (Time to live exceeded in transit)"
"37","0.058736","192.168.1.2","33.33.33.33","UDP","54","3344  >  33436 Len=12"
"38","0.007233","192.168.1.1","192.168.1.2","ICMP","310","Time-to-live exceeded (Time to live exceeded in transit)"
"39","0.049498","192.168.1.2","33.33.33.33","UDP","54","3344  >  33437 Len=12"
"40","0.028286","172.14.1.2","192.168.1.2","ICMP","186","Time-to-live exceeded (Time to live exceeded in transit)"
"41","0.028658","192.168.1.2","33.33.33.33","UDP","54","3344  >  33438 Len=12"
"42","0.027157","172.10.1.2","192.168.1.2","ICMP","186","Time-to-live exceeded (Time to live exceeded in transit)"
"43","0.029989","192.168.1.2","33.33.33.33","UDP","54","3344  >  33439 Len=12"
"44","0.030486","172.14.1.2","192.168.1.2","ICMP","186","Time-to-live exceeded (Time to live exceeded in transit)"
"45","0.026453","192.168.1.2","33.33.33.33","UDP","54","3344  >  33440 Len=12"
"46","0.024184","172.18.1.1","192.168.1.2","ICMP","186","Time-to-live exceeded (Time to live exceeded in transit)"
"47","0.032670","192.168.1.2","33.33.33.33","UDP","54","3344  >  33441 Len=12"
"48","0.033487","172.5.1.1","192.168.1.2","ICMP","186","Time-to-live exceeded (Time to live exceeded in transit)"
"49","0.024443","192.168.1.2","33.33.33.33","UDP","54","3344  >  33442 Len=12"
"50","0.026267","172.8.1.1","192.168.1.2","ICMP","186","Time-to-live exceeded (Time to live exceeded in transit)"
"51","0.031017","192.168.1.2","33.33.33.33","UDP","54","3344  >  33443 Len=12"
"52","0.029292","192.168.3.5","192.168.1.2","ICMP","310","Time-to-live exceeded (Time to live exceeded in transit)"
"53","0.027265","192.168.1.2","33.33.33.33","UDP","54","3344  >  33444 Len=12"
"54","0.028929","192.168.3.5","192.168.1.2","ICMP","310","Time-to-live exceeded (Time to live exceeded in transit)"
"55","0.027951","192.168.1.2","33.33.33.33","UDP","54","3344  >  33445 Len=12"
"56","0.027267","192.168.3.5","192.168.1.2","ICMP","310","Time-to-live exceeded (Time to live exceeded in transit)"
"57","0.029985","192.168.1.2","33.33.33.33","UDP","54","3344  >  33446 Len=12"
"58","0.045930","33.33.33.33","192.168.1.2","ICMP","70","Destination unreachable (Port unreachable)"
"59","0.010831","192.168.1.2","33.33.33.33","UDP","54","3344  >  33447 Len=12"
"60","0.039839","33.33.33.33","192.168.1.2","ICMP","70","Destination unreachable (Port unreachable)"
"61","0.016759","192.168.1.2","33.33.33.33","UDP","54","3344  >  33448 Len=12"
"62","0.054757","33.33.33.33","192.168.1.2","ICMP","70","Destination unreachable (Port unreachable)"
"65","0.364846","192.168.1.2","33.33.33.33","UDP","54","8038  >  33434 Len=12"
"66","0.006588","192.168.1.1","192.168.1.2","ICMP","310","Time-to-live exceeded (Time to live exceeded in transit)"
"67","0.055989","192.168.1.2","33.33.33.33","UDP","54","8038  >  33435 Len=12"
"68","0.004827","192.168.1.1","192.168.1.2","ICMP","310","Time-to-live exceeded (Time to live exceeded in transit)"
"69","0.052723","192.168.1.2","33.33.33.33","UDP","54","8038  >  33436 Len=12"
"70","0.002822","192.168.1.1","192.168.1.2","ICMP","310","Time-to-live exceeded (Time to live exceeded in transit)"
"71","0.054030","192.168.1.2","33.33.33.33","UDP","54","8038  >  33437 Len=12"
"72","0.023217","172.14.1.2","192.168.1.2","ICMP","186","Time-to-live exceeded (Time to live exceeded in transit)"
"73","0.033857","192.168.1.2","33.33.33.33","UDP","54","8038  >  33438 Len=12"
"74","0.031993","172.10.1.2","192.168.1.2","ICMP","186","Time-to-live exceeded (Time to live exceeded in transit)"
"75","0.024159","192.168.1.2","33.33.33.33","UDP","54","8038  >  33439 Len=12"
"76","0.021287","172.14.1.2","192.168.1.2","ICMP","186","Time-to-live exceeded (Time to live exceeded in transit)"
"77","0.036969","192.168.1.2","33.33.33.33","UDP","54","8038  >  33440 Len=12"
"78","0.026036","172.18.1.1","192.168.1.2","ICMP","186","Time-to-live exceeded (Time to live exceeded in transit)"
"79","0.030878","192.168.1.2","33.33.33.33","UDP","54","8038  >  33441 Len=12"
"80","0.035000","172.5.1.1","192.168.1.2","ICMP","186","Time-to-live exceeded (Time to live exceeded in transit)"
"81","0.021122","192.168.1.2","33.33.33.33","UDP","54","8038  >  33442 Len=12"
"82","0.027257","172.8.1.1","192.168.1.2","ICMP","186","Time-to-live exceeded (Time to live exceeded in transit)"
"83","0.029381","192.168.1.2","33.33.33.33","UDP","54","8038  >  33443 Len=12"
"84","0.023752","192.168.3.5","192.168.1.2","ICMP","310","Time-to-live exceeded (Time to live exceeded in transit)"
"85","0.032846","192.168.1.2","33.33.33.33","UDP","54","8038  >  33444 Len=12"
"86","0.030296","192.168.3.5","192.168.1.2","ICMP","310","Time-to-live exceeded (Time to live exceeded in transit)"
"87","0.027719","192.168.1.2","33.33.33.33","UDP","54","8038  >  33445 Len=12"
"88","0.027985","192.168.3.5","192.168.1.2","ICMP","310","Time-to-live exceeded (Time to live exceeded in transit)"
