No.;Time;Source;Destination;Protocol;Length;Info;;;;;;;
1;0;11.11.11.11;33.33.33.33;UDP;842;6882  >  5461 Len=800;;;;0.008;0.04;;
2;0.008;192.168.1.1;11.11.11.11;ICMP;70;Time-to-live exceeded (Time to live exceeded in transit);;;;0.048;0.042;;
3;0.056;11.11.11.11;33.33.33.33;UDP;842;6882  >  5462 Len=800;;;;0.006;0.045;;
4;0.062;192.168.1.1;11.11.11.11;ICMP;70;Time-to-live exceeded (Time to live exceeded in transit);;;;0.051;0.046;;
5;0.113;11.11.11.11;33.33.33.33;UDP;842;6882  >  5463 Len=800;;;;0.005;0.049;;
6;0.118;192.168.1.1;11.11.11.11;ICMP;70;Time-to-live exceeded (Time to live exceeded in transit);;;;0.054;4.897;;
7;0.172;11.11.11.11;33.33.33.33;UDP;842;6882  >  5464 Len=800;;;;4.951;0.061;;
8;5.123;11.11.11.11;33.33.33.33;UDP;842;6882  >  5465 Len=800;;;;5.012;0.011;;
9;10.135;11.11.11.11;33.33.33.33;UDP;842;6882  >  5466 Len=800;;;;5.001;0.006;;
10;15.136;11.11.11.11;33.33.33.33;UDP;842;6882  >  5467 Len=800;;;;4.995;0.02;;
15;20.131;11.11.11.11;33.33.33.33;UDP;842;6882  >  5468 Len=800;;;;5.015;0.002;;
16;25.146;11.11.11.11;33.33.33.33;UDP;842;6882  >  5469 Len=800;;;;5.013;0.03;;
17;30.159;11.11.11.11;33.33.33.33;UDP;842;6882  >  5470 Len=800;;;;5.043;0.04;;
18;35.202;11.11.11.11;33.33.33.33;UDP;842;6882  >  5471 Len=800;;;;5.003;0.009;;
19;40.205;11.11.11.11;33.33.33.33;UDP;842;6882  >  5472 Len=800;;;;4.994;0.012;;
20;45.199;11.11.11.11;33.33.33.33;UDP;842;6882  >  5473 Len=800;;;;5.006;0.016;;
21;50.205;11.11.11.11;33.33.33.33;UDP;842;6882  >  5474 Len=800;;;;5.022;0.026;;
22;55.227;11.11.11.11;33.33.33.33;UDP;842;6882  >  5475 Len=800;;;;4.996;0.007;;
23;60.223;11.11.11.11;33.33.33.33;UDP;842;6882  >  5476 Len=800;;;;5.003;0.009;;
24;65.226;11.11.11.11;33.33.33.33;UDP;842;6882  >  5477 Len=800;;;;5.012;0.013;;
27;70.238;11.11.11.11;33.33.33.33;UDP;842;6882  >  5478 Len=800;;;;4.999;4.918;;
30;75.237;11.11.11.11;33.33.33.33;UDP;842;6882  >  5479 Len=800;;;;0.081;0.049;;
31;75.318;33.33.33.33;11.11.11.11;ICMP;70;Destination unreachable (Port unreachable);;;;0.032;0.053;;
32;75.35;11.11.11.11;33.33.33.33;UDP;842;6882  >  5480 Len=800;;;;0.085;0.059;;
33;75.435;33.33.33.33;11.11.11.11;ICMP;70;Destination unreachable (Port unreachable);;;;0.026;0.049;;
34;75.461;11.11.11.11;33.33.33.33;UDP;842;6882  >  5481 Len=800;;;;0.075;2.962;;6.205185185
35;75.536;33.33.33.33;11.11.11.11;ICMP;70;Destination unreachable (Port unreachable);;;;3.037;3.033;;154.15
36;78.573;11.11.11.11;33.33.33.33;UDP;842;3376  >  5461 Len=800;;;;0.004;0.053;;
37;78.577;192.168.1.1;11.11.11.11;ICMP;70;Time-to-live exceeded (Time to live exceeded in transit);;;;0.057;0.049;;
38;78.634;11.11.11.11;33.33.33.33;UDP;842;3376  >  5462 Len=800;;;;0.008;0.042;;
39;78.642;192.168.1.1;11.11.11.11;ICMP;70;Time-to-live exceeded (Time to live exceeded in transit);;;;0.05;0.044;;
40;78.692;11.11.11.11;33.33.33.33;UDP;842;3376  >  5463 Len=800;;;;0.006;0.045;;
41;78.698;192.168.1.1;11.11.11.11;ICMP;70;Time-to-live exceeded (Time to live exceeded in transit);;;;0.051;4.879;;
42;78.749;11.11.11.11;33.33.33.33;UDP;842;3376  >  5464 Len=800;;;;4.93;0.063;;
43;83.679;11.11.11.11;33.33.33.33;UDP;842;3376  >  5465 Len=800;;;;4.993;0.029;;
44;88.672;11.11.11.11;33.33.33.33;UDP;842;3376  >  5466 Len=800;;;;5.022;0.012;;
45;93.694;11.11.11.11;33.33.33.33;UDP;842;3376  >  5467 Len=800;;;;5.034;0.039;;
46;98.728;11.11.11.11;33.33.33.33;UDP;842;3376  >  5468 Len=800;;;;4.995;0.032;;
47;103.723;11.11.11.11;33.33.33.33;UDP;842;3376  >  5469 Len=800;;;;5.027;0.009;;
48;108.75;11.11.11.11;33.33.33.33;UDP;842;3376  >  5470 Len=800;;;;5.018;0.006;;
49;113.768;11.11.11.11;33.33.33.33;UDP;842;3376  >  5471 Len=800;;;;5.012;0.001;;
50;118.78;11.11.11.11;33.33.33.33;UDP;842;3376  >  5472 Len=800;;;;5.011;0.008;;
53;123.791;11.11.11.11;33.33.33.33;UDP;842;3376  >  5473 Len=800;;;;5.019;0.004;;
56;128.81;11.11.11.11;33.33.33.33;UDP;842;3376  >  5474 Len=800;;;;5.015;0.011;;
57;133.825;11.11.11.11;33.33.33.33;UDP;842;3376  >  5475 Len=800;;;;5.004;0.01;;
58;138.829;11.11.11.11;33.33.33.33;UDP;842;3376  >  5476 Len=800;;;;4.994;0.029;;
59;143.823;11.11.11.11;33.33.33.33;UDP;842;3376  >  5477 Len=800;;;;5.023;0.006;;
60;148.846;11.11.11.11;33.33.33.33;UDP;842;3376  >  5478 Len=800;;;;5.017;4.958;;
61;153.863;11.11.11.11;33.33.33.33;UDP;842;3376  >  5479 Len=800;;;;0.059;0.003;;
62;153.922;33.33.33.33;11.11.11.11;ICMP;70;Destination unreachable (Port unreachable);;;;0.056;2.84217E-14;;
63;153.978;11.11.11.11;33.33.33.33;UDP;842;3376  >  5480 Len=800;;;;0.056;0.001;;
64;154.034;33.33.33.33;11.11.11.11;ICMP;70;Destination unreachable (Port unreachable);;;;0.057;0.002;;
65;154.091;11.11.11.11;33.33.33.33;UDP;842;3376  >  5481 Len=800;;;;0.059;154.091;;
66;154.15;33.33.33.33;11.11.11.11;ICMP;70;Destination unreachable (Port unreachable);;;;154.15;154.15;;
